kubectl get pods -l project=practice --all-namespaces

NAMESPACE        NAME      READY   STATUS    RESTARTS         AGE
exam-abduhalil   nginx1    1/1     Running   0                14h
exam-abduhalil   nginx2    1/1     Running   0                14h
exam-abdumalik   nginx1    1/1     Running   0                14h
exam-abdumalik   nginx2    1/1     Running   0                14h
exam-dilmurod    nginx1    1/1     Running   0                14h
exam-dilmurod    nginx2    1/1     Running   0                14h
exam-farrukh     nginx1    1/1     Running   0                9h
exam-farrukh     nginx2    1/1     Running   0                9h
exam-fayoz       pod       0/1     Error     120 (5m5s ago)   9h
exam-hasanboy    nginx1    1/1     Running   0                14h
exam-hasanboy    nginx2    1/1     Running   0                14h
exam-ibrohim     nginx1    1/1     Running   0                14h
exam-ibrohim     nginx2    1/1     Running   0                14h
exam-jamshid     nginx1    1/1     Running   0                12h
exam-jamshid     nginx2    1/1     Running   0                12h
exam-jasurbek    nginx-1   1/1     Running   0                14h
exam-jasurbek    nginx-2   1/1     Running   0                14h
exam-khurshid    nginx1    1/1     Running   0                14h
exam-khurshid    nginx2    1/1     Running   0                14h
exam-nurali      nginx1    1/1     Running   0                14h
exam-nurali      nginx2    1/1     Running   0                14h
exam-o-toshev    nginx1    1/1     Running   0                15h
exam-o-toshev    nginx2    1/1     Running   0                15h
exam-xondamir    nginx1    1/1     Running   0                15h
exam-xondamir    nginx2    1/1     Running   0                15h
exam-zoyirjon    nginx1    1/1     Running   0                14h
exam-zoyirjon    nginx2    1/1     Running   0                14h
